Title,Company,Location,Expiry Date,Description,Job URL,Scraped Date
Call for Supplier`s Registration for the period (January 2026 to December 2028),MeDRA - Methodist Development and Relief Agency,Harare,2025-05-09,N/A,https://vacancymail.co.zw/jobs/view/medra-supplier-registration,2025-04-16 12:02:34
Developers Wanted for Global Opportunities,Vacancy Mail,Harare,2025-05-15,N/A,https://vacancymail.co.zw/jobs/view/developers-global-opportunities,2025-04-16 12:02:34
Chief Risk Analyst - Quantitative Risk and Data Analytics,Proserve Consulting,Harare,2025-04-17,N/A,https://vacancymail.co.zw/jobs/view/chief-risk-analyst,2025-04-16 12:02:34
Graduate Trainee Software Developer,wCyber Solutions (Pvt) Ltd,Harare,2025-04-30,N/A,https://vacancymail.co.zw/jobs/view/graduate-trainee-software,2025-04-16 12:02:34
Cashier,Ledger Paints (Pvt) Ltd,Harare,2025-04-28,N/A,https://vacancymail.co.zw/jobs/view/cashier-ledger-paints,2025-04-16 12:02:34
General Hand,Vacancy Mail,Harare,2025-04-18,N/A,https://vacancymail.co.zw/jobs/view/general-hand,2025-04-16 12:02:34
Business Development Executive,Vacancy Mail,Harare,2025-04-18,N/A,https://vacancymail.co.zw/jobs/view/business-development-exec,2025-04-16 12:02:34
Gardener Kwekwe,Vacancy Mail,Kwekwe,2025-04-20,N/A,https://vacancymail.co.zw/jobs/view/gardener-kwekwe,2025-04-16 12:02:34
Drivers,Vacancy Mail,Harare,2025-04-18,N/A,https://vacancymail.co.zw/jobs/view/drivers,2025-04-16 12:02:34
Invitation For Supplier Registration,The Halo Trust,Harare,2025-04-30,N/A,https://vacancymail.co.zw/jobs/view/halo-supplier-registration,2025-04-16 12:02:34
